SPEED	TORQUE
1044.244677	98.38753484
1048.592101	114.1850024
1052.514873	129.9314491
1055.985594	145.2589216
1058.976866	159.7994664
1061.46129	173.18513
1063.411467	185.047959
1064.8	195.02
1065.593627	202.7707535
1065.735642	208.119536
1065.163475	210.9231184
1063.814557	211.0382712
1061.62632	208.3217651
1058.536194	202.6303708
1054.48161	193.8208589
1049.4	181.75
1043.304056	166.4468654
1036.507519	148.6297285
1029.399392	129.1891632
1022.368677	109.0157435
1015.804378	89.00004343
1010.095497	70.03263683
1005.631036	53.0040977
1002.8	38.805
1001.850696	28.07799507
1002.468658	20.47404373
1004.198725	15.39618417
1006.585735	12.24745459
1009.174529	10.43089319
1011.509945	9.349538158
1013.136822	8.406427697
1013.6	7.0046
1012.578296	4.677291034
1010.286443	1.478527848
1007.073151	-2.407464738
1003.287132	-6.796461906
999.2770967	-11.50423884
995.3917555	-16.34657071
991.9798196	-21.1392327
989.39	-25.698
987.8697714	-29.86951897
987.2616637	-33.62392075
987.3069706	-36.96220764
987.7469856	-39.88538197
988.3230024	-42.39444605
988.7763146	-44.4904022
988.8482159	-46.17425275
988.28	-47.447
986.8546298	-48.30551046
984.5217458	-48.73010737
981.2726577	-48.69697815
977.0986754	-48.18231023
971.9911087	-47.16229103
965.9412674	-45.61310797
958.9404612	-43.51094849
950.98	-40.832
942.0691313	-37.5912556
932.2888532	-33.95893103
921.7381017	-30.14404774
910.5158127	-26.35562712
898.7209222	-22.80269062
886.4523659	-19.69425965
873.8090799	-17.23935564
860.89	-15.647
847.8478882	-15.06608434
835.0508102	-15.404981
822.9206581	-16.51193247
811.8793236	-18.23518128
802.3486987	-20.42296992
794.7506752	-22.92354092
789.507145	-25.58513677
787.04	-28.256
787.63332	-30.81090898
791.0199372	-33.2307856
796.7948714	-35.52308761
804.5531427	-37.69527276
813.8897712	-39.75479883
824.3997769	-41.70912355
835.6781798	-43.56570469
847.32	-45.332
858.9791247	-47.01238716
870.5449099	-48.59892349
881.9655791	-50.08058624
893.1893555	-51.44635266
904.1644625	-52.6852
914.8391233	-53.78610551
925.1615614	-54.73804643
935.08	-55.53
944.5575641	-56.15180998
953.6169857	-56.59678608
962.2958982	-56.85910454
970.6319353	-56.93294158
978.6627304	-56.81247342
986.4259172	-56.49187629
993.9591292	-55.96532641
1001.3	-55.227
1008.492181	-54.29805653
1015.603397	-53.30758843
1022.707391	-52.41167137
1029.877903	-51.76638101
1037.188678	-51.52779303
1044.713458	-51.85198309
1052.525984	-52.89502685
1060.7	-54.813
1069.240976	-57.66992678
1077.8813	-61.16162581
1086.285086	-64.89186427
1094.116451	-68.46440937
1101.039509	-71.48302829
1106.718376	-73.55148824
1110.817168	-74.27355641
1113	-73.253
1113.03903	-70.23453712
1111.13859	-65.52668959
1107.611053	-59.57893014
1102.768793	-52.84073151
1096.924184	-45.76156645
1090.389599	-38.79090769
1083.477413	-32.37822796
1076.5	-26.973
1069.704269	-22.9507724
1063.075277	-20.3913971
1056.532615	-19.30080189
1049.995877	-19.68491457
1043.384654	-21.54966293
1036.618539	-24.90097476
1029.617123	-29.74477785
1022.3	-36.087
1014.667428	-43.73684204
1007.042333	-51.71659702
999.8283093	-58.85183104
993.4289486	-63.96811019
988.2478444	-65.89100057
984.6885895	-63.44606826
983.1547771	-55.45887938
984.05	-40.755
987.6020931	-18.65161529
993.3358581	9.567613322
1000.600339	42.12740536
1008.744578	77.25248035
1017.117621	113.1675578
1025.068509	148.0973572
1031.946288	180.2665981
1037.1	207.9
1040.049493	229.6552446
1040.997828	245.9218625
1040.318871	257.5223463
1038.386488	265.2791888
1035.574543	270.0148827
1032.256904	272.5519207
1028.807434	273.7127956
1025.6	274.32
1022.939097	275.0515645
1020.851737	276.0076711
1019.295564	277.1440395
1018.228221	278.4163894
1017.60735	279.7804407
1017.390594	281.191913
1017.535597	282.6065262
1018	283.98
1018.749004	285.2882629
1019.778037	286.5880781
1021.090084	287.9564177
1022.688129	289.4702535
1024.575159	291.2065577
1026.754157	293.2423022
1029.228109	295.654459
1032	298.52
1035.08559	301.8579035
1038.55174	305.4551728
1042.478085	309.0408172
1046.944262	312.3438464
1052.029906	315.0932698
1057.814653	317.0180969
1064.378139	317.8473371
1071.8	317.31
1080.122503	315.2406504
1089.238441	311.8960746
1099.003239	307.6386141
1109.272322	302.8306107
1119.901115	297.834406
1130.745042	293.0123415
1141.659529	288.726759
1152.5	285.34
1163.144907	283.1281277
1173.564809	282.0220915
1183.753294	281.8665622
1193.703949	282.5062106
1203.41036	283.7857078
1212.866114	285.5497245
1222.064799	287.6429316
1231	289.91
1239.67287	292.2173075
1248.114822	294.5180595
1256.364833	296.7871685
1264.461881	298.9995467
1272.444944	301.1301066
1280.353	303.1537606
1288.225026	305.0454209
1296.1	306.78
1304.010487	308.3422517
1311.963402	309.7562954
1319.959248	311.056092
1327.998525	312.2756025
1336.081737	313.4487876
1344.209385	314.6096083
1352.381972	315.7920255
1360.6	317.03
1368.864673	318.3427678
1377.180006	319.6906652
1385.550715	321.0193033
1393.981518	322.2742934
1402.477131	323.4012469
1411.042271	324.345775
1419.681655	325.0534889
1428.4	325.47
1437.201328	325.5647629
1446.086887	325.4026065
